"Year","Scenario","eco_status","med","lwr","upr"
2024,"Target <8 Mt","LI",0.991,0.631,1.414
2024,"Target <8 Mt","LMI",4.49,2.771,6.658
2024,"Target <8 Mt","UMI",3.841,2.384,5.583
2025,"Ambitious","HI",2.566,1.804,3.354
2025,"Ambitious","LI",1.632,1.062,2.291
2025,"Ambitious","LMI",12.168,8.21,16.783
2025,"Ambitious","UMI",12.003,7.706,17.065
2025,"Business as usual","HI",4.228,2.999,5.454
2025,"Business as usual","LI",2.198,1.466,3.068
2025,"Business as usual","LMI",18.751,12.769,25.726
2025,"Business as usual","UMI",18.325,12.502,24.914
2025,"Target <8 Mt","HI",0.879,0.621,1.125
2025,"Target <8 Mt","LI",0.962,0.57,1.429
2025,"Target <8 Mt","LMI",4.308,2.621,6.343
2025,"Target <8 Mt","UMI",3.516,1.96,5.43
2026,"Ambitious","HI",2.674,1.835,3.543
2026,"Ambitious","LI",1.735,1.086,2.5
2026,"Ambitious","LMI",12.944,8.363,18.323
2026,"Ambitious","UMI",12.3,7.335,18.062
2026,"Business as usual","HI",4.504,3.11,5.879
2026,"Business as usual","LI",2.405,1.542,3.443
2026,"Business as usual","LMI",20.38,13.305,28.754
2026,"Business as usual","UMI",19.72,12.938,27.426
2026,"Target <8 Mt","HI",0.855,0.597,1.099
2026,"Target <8 Mt","LI",0.936,0.527,1.429
2026,"Target <8 Mt","LMI",4.173,2.478,6.268
2026,"Target <8 Mt","UMI",3.14,1.361,5.309
2027,"Ambitious","HI",2.782,1.863,3.732
2027,"Ambitious","LI",1.847,1.115,2.72
2027,"Ambitious","LMI",13.745,8.545,19.828
2027,"Ambitious","UMI",12.63,7.203,19.029
2027,"Business as usual","HI",4.785,3.225,6.311
2027,"Business as usual","LI",2.629,1.62,3.856
2027,"Business as usual","LMI",22.093,13.845,31.811
2027,"Business as usual","UMI",21.118,13.383,29.755
2027,"Target <8 Mt","HI",0.828,0.57,1.068
2027,"Target <8 Mt","LI",0.91,0.488,1.429
2027,"Target <8 Mt","LMI",4.057,2.354,6.149
2027,"Target <8 Mt","UMI",2.706,0.541,5.032
2028,"Ambitious","HI",2.884,1.891,3.898
2028,"Ambitious","LI",1.968,1.147,2.948
2028,"Ambitious","LMI",14.551,8.737,21.248
2028,"Ambitious","UMI",12.987,7.268,20.013
2028,"Business as usual","HI",5.066,3.345,6.736
2028,"Business as usual","LI",2.869,1.701,4.295
2028,"Business as usual","LMI",23.865,14.402,34.865
2028,"Business as usual","UMI",22.523,13.846,31.849
2028,"Target <8 Mt","HI",0.797,0.544,1.025
2028,"Target <8 Mt","LI",0.883,0.456,1.416
2028,"Target <8 Mt","LMI",3.947,2.237,6.003
2028,"Target <8 Mt","UMI",2.339,0.504,4.742
2029,"Ambitious","HI",2.978,1.919,4.03
2029,"Ambitious","LI",2.099,1.179,3.194
2029,"Ambitious","LMI",15.365,8.927,22.626
2029,"Ambitious","UMI",13.366,7.386,20.961
2029,"Business as usual","HI",5.343,3.47,7.111
2029,"Business as usual","LI",3.127,1.784,4.769
2029,"Business as usual","LMI",25.701,14.98,37.969
2029,"Business as usual","UMI",23.941,14.321,34.016
2029,"Target <8 Mt","HI",0.762,0.517,0.976
2029,"Target <8 Mt","LI",0.858,0.427,1.394
2029,"Target <8 Mt","LMI",3.841,2.128,5.82
2029,"Target <8 Mt","UMI",2.043,0.482,4.429
2030,"Ambitious","HI",3.06,1.946,4.121
2030,"Ambitious","LI",2.24,1.212,3.47
2030,"Ambitious","LMI",16.189,9.114,24.083
2030,"Ambitious","UMI",13.765,7.484,21.622
2030,"Business as usual","HI",5.611,3.596,7.435
2030,"Business as usual","LI",3.404,1.87,5.288
2030,"Business as usual","LMI",27.602,15.555,41.143
2030,"Business as usual","UMI",25.355,14.791,36.135
2030,"Target <8 Mt","HI",0.724,0.489,0.921
2030,"Target <8 Mt","LI",0.835,0.404,1.37
2030,"Target <8 Mt","LMI",3.73,2.027,5.607
2030,"Target <8 Mt","UMI",1.797,0.459,4.101
