"Year","Scenario","country","Income","med","lwr","upr"
2016,"Ambitious","LAO","LMI",0.004748,0.00437,0.005119
2016,"Ambitious","LBN","UMI",0.034824,0.033289,0.036359
2016,"Ambitious","LBR","LI",0.008226,0.007477,0.009006
2016,"Ambitious","LBY","UMI",0.044292,0.041641,0.046973
2016,"Ambitious","LCA","UMI",0.000345,0.000336,0.000352
2016,"Ambitious","LIE","HI",0.000268,0.000251,0.000285
2016,"Ambitious","LKA","LMI",0.05014,0.045636,0.054589
2016,"Ambitious","LSO","LMI",0.002479,0.002263,0.002696
2016,"Ambitious","LTU","HI",0.001023,0.000954,0.001091
2016,"Ambitious","LUX","HI",0.000146,9.9e-05,0.000195
2016,"Ambitious","LVA","HI",0.004782,0.004547,0.005021
2016,"Ambitious","MAC","HI",0.014388,0.013982,0.014795
2016,"Ambitious","MAR","LMI",0.109873,0.101633,0.117926
2016,"Ambitious","MCO","HI",3.8e-05,3.7e-05,3.8e-05
2016,"Ambitious","MDG","LI",0.027156,0.022551,0.03174
2016,"Ambitious","MDV","UMI",0.001936,0.001766,0.002097
2016,"Ambitious","MEX","UMI",0.256417,0.216274,0.297374
2016,"Ambitious","MHL","UMI",0.000235,0.000215,0.000254
2016,"Ambitious","MKD","UMI",0.004441,0.003497,0.005397
2016,"Ambitious","MLT","HI",0.000705,0.000689,0.000721
2016,"Ambitious","MMR","LMI",0.362295,0.33488,0.389703
2016,"Ambitious","MNE","UMI",0.005968,0.003753,0.008155
2016,"Ambitious","MNG","LMI",0.184162,0.174193,0.193819
2016,"Ambitious","MOZ","LI",0.026902,0.02406,0.029811
2016,"Ambitious","MRT","HI",0.019498,0.017718,0.021309
2016,"Ambitious","MUS","UMI",0.000357,0.000326,0.000388
2016,"Ambitious","MYS","UMI",0.167813,0.156433,0.1792
2016,"Ambitious","NAM","UMI",0.005139,0.003402,0.006932
2016,"Ambitious","NCL","HI",0.001014,0.000962,0.001067
2016,"Ambitious","NER","LI",0.023346,0.020871,0.025779
2016,"Ambitious","NGA","LMI",0.240051,0.196755,0.285532
2016,"Ambitious","NIC","LMI",0.032792,0.026632,0.039151
2016,"Ambitious","NLD","HI",0.008134,0.007412,0.008846
2016,"Ambitious","NOR","HI",0.000329,0.000301,0.000357
2016,"Ambitious","NZL","HI",0.002832,0.002723,0.002938
2016,"Ambitious","OMN","HI",0.173241,0.163617,0.182915
2016,"Ambitious","PAK","LMI",0.499668,0.441349,0.556842
2016,"Ambitious","PAN","HI",0.036109,0.03438,0.03776
2016,"Ambitious","PER","UMI",0.189242,0.175306,0.202378
2016,"Ambitious","PHL","LMI",0.488749,0.462071,0.51504
2016,"Ambitious","PLW","HI",0.001069,0.001043,0.001096
2016,"Ambitious","PNG","LMI",0.008938,0.007699,0.010226
2016,"Ambitious","POL","HI",0.007374,0.006574,0.008219
2016,"Ambitious","PRI","HI",0.043837,0.041906,0.045782
2016,"Ambitious","PRT","HI",0.004354,0.004101,0.004598
2016,"Ambitious","PSE","LMI",0.006127,0.003529,0.0087
2016,"Ambitious","QAT","HI",0.001689,0.001618,0.001758
2016,"Ambitious","ROU","UMI",0.048858,0.042024,0.055892
2016,"Ambitious","RUS","UMI",3.195356,2.989141,3.401767
2016,"Ambitious","RWA","LI",0.024824,0.0191,0.030418
2016,"Ambitious","SAU","HI",0.008359,0.007168,0.009531
2016,"Ambitious","SDN","LMI",0.065429,0.05962,0.071589
2016,"Ambitious","SEN","LI",0.072943,0.06712,0.078992
2016,"Ambitious","SGP","HI",0.010365,0.010126,0.010598
2016,"Ambitious","SLB","LMI",0.017919,0.016881,0.018988
2016,"Ambitious","SLE","LI",0.010033,0.00918,0.01092
2016,"Ambitious","SLV","LMI",0.007891,0.006592,0.009203
2016,"Ambitious","SOM","LI",0.010734,0.007637,0.013764
2016,"Ambitious","STP","LMI",0.001356,0.001318,0.001395
2016,"Ambitious","SUR","UMI",0.004807,0.004632,0.004993
2016,"Ambitious","SVK","HI",0.002579,0.002213,0.002945
2016,"Ambitious","SVN","HI",0.001523,0.001312,0.001729
2016,"Ambitious","SWE","HI",0.002018,0.001856,0.002176
2016,"Ambitious","SWZ","LMI",0.003494,0.002972,0.004025
2016,"Ambitious","SYC","HI",0.00028,0.000256,0.000304
2016,"Ambitious","SYR","LI",0.026488,0.015995,0.036266
2016,"Ambitious","TCD","LI",0.006529,0.002855,0.010367
2016,"Ambitious","TGO","LI",0.029169,0.025672,0.032534
2016,"Ambitious","THA","UMI",1.042903,0.962803,1.125007
2016,"Ambitious","TLS","LMI",0.00292,0.002744,0.003096
2016,"Ambitious","TTO","HI",0.062713,0.060195,0.065207
2016,"Ambitious","TUN","LMI",0.055786,0.051594,0.060243
2016,"Ambitious","TUR","UMI",0.149028,0.137324,0.160748
2016,"Ambitious","TUV","UMI",0.000184,0.000168,0.000201
2016,"Ambitious","TZA","LI",0.082842,0.070097,0.095333
2016,"Ambitious","UGA","LI",0.096715,0.074974,0.117701
2016,"Ambitious","UKR","LMI",0.139145,0.12616,0.15221
2016,"Ambitious","URY","HI",0.012924,0.012327,0.013546
2016,"Ambitious","USA","HI",0.215504,0.196139,0.235477
2016,"Ambitious","UZB","LMI",0.005709,0.001053,0.010468
2016,"Ambitious","VCT","UMI",0.00062,0.000609,0.000632
2016,"Ambitious","VEN","UMI",0.289666,0.249112,0.329106
2016,"Ambitious","VIR","HI",0.000945,0.000865,0.001026
2016,"Ambitious","VNM","LMI",0.285964,0.262235,0.310951
2016,"Ambitious","VUT","LMI",0.001581,0.001529,0.001635
2016,"Ambitious","YEM","LI",0.053177,0.039363,0.067323
2016,"Ambitious","ZAF","UMI",0.201087,0.171077,0.229631
2016,"Ambitious","ZMB","LMI",0.043043,0.034017,0.051824
2016,"Ambitious","ZWE","LI",0.052389,0.037638,0.066891
2016,"Business as usual","AFG","LI",0.126619,0.098529,0.154205
2016,"Business as usual","AGO","LMI",0.16846,0.151654,0.186071
2016,"Business as usual","ALB","UMI",0.028016,0.024394,0.03178
2016,"Business as usual","ARE","HI",0.325334,0.312372,0.337617
2016,"Business as usual","ARG","HI",0.177564,0.160113,0.195931
2016,"Business as usual","ATG","HI",6e-05,5.9e-05,6.2e-05
2016,"Business as usual","AUS","HI",0.008898,0.008391,0.009382
2016,"Business as usual","AZE","UMI",0.076428,0.069904,0.082727
2016,"Business as usual","BEL","HI",0.00415,0.003686,0.004615
2016,"Business as usual","BEN","LI",0.0206,0.018185,0.022893
2016,"Business as usual","BGD","LMI",0.192006,0.168892,0.214119
2016,"Business as usual","BGR","UMI",0.018825,0.016253,0.021356
2016,"Business as usual","BHR","HI",0.000942,0.000923,0.000962
2016,"Business as usual","BHS","HI",0.006054,0.005924,0.006189
2016,"Business as usual","BIH","UMI",0.017514,0.014303,0.020752
2016,"Business as usual","BLZ","UMI",0.004101,0.003721,0.004465
2016,"Business as usual","BOL","LMI",0.015583,0.010942,0.020359
2016,"Business as usual","BRA","UMI",0.670349,0.594517,0.746132
2016,"Business as usual","BRB","HI",0.000413,0.000405,0.000422
2016,"Business as usual","BRN","HI",0.004821,0.004623,0.005018
2016,"Business as usual","BWA","UMI",0.00392,0.003049,0.004772
2016,"Business as usual","CAN","HI",0.023951,0.022173,0.025782
2016,"Business as usual","CHE","HI",0.005818,0.005304,0.006348
2016,"Business as usual","CHL","HI",0.02727,0.024236,0.030121
2016,"Business as usual","CHN","UMI",1.575653,1.405343,1.742304
2016,"Business as usual","CIV","LMI",0.130309,0.115139,0.145105
2016,"Business as usual","CMR","LMI",0.020668,0.017539,0.02398
2016,"Business as usual","COD","LI",0.153602,0.13894,0.168223
2016,"Business as usual","COG","LMI",0.028959,0.027636,0.030159
2016,"Business as usual","COL","UMI",0.015089,0.012823,0.017404
2016,"Business as usual","COM","LI",0.00284,0.002767,0.002916
2016,"Business as usual","CPV","LMI",0.003432,0.003157,0.003718
2016,"Business as usual","CRI","UMI",0.003039,0.002368,0.003724
2016,"Business as usual","CYP","HI",0.002469,0.002309,0.002622
2016,"Business as usual","CZE","HI",0.000422,0.000375,0.000467
2016,"Business as usual","DEU","HI",0.038849,0.034922,0.042955
2016,"Business as usual","DJI","LMI",0.005856,0.005479,0.006262
2016,"Business as usual","DMA","UMI",7.9e-05,7.7e-05,8.1e-05
2016,"Business as usual","DNK","HI",0.006754,0.006421,0.007084
2016,"Business as usual","DOM","UMI",0.138163,0.128114,0.148601
2016,"Business as usual","DZA","UMI",0.438132,0.384779,0.490883
2016,"Business as usual","ECU","UMI",0.047573,0.0411,0.05439
2016,"Business as usual","EGY","LMI",0.969319,0.898061,1.038497
2016,"Business as usual","ERI","LI",0,0,0
2016,"Business as usual","ESP","HI",0.014973,0.014054,0.015849
2016,"Business as usual","EST","HI",0.005574,0.005309,0.005851
2016,"Business as usual","FIN","HI",0.002643,0.002411,0.002871
2016,"Business as usual","FJI","UMI",0.003993,0.003779,0.004203
2016,"Business as usual","FRA","HI",0.022104,0.020521,0.023672
2016,"Business as usual","FRO","HI",0.000794,0.000729,0.000862
2016,"Business as usual","FSM","LMI",0.017404,0.016783,0.018026
2016,"Business as usual","GAB","UMI",0.008613,0.008246,0.008965
2016,"Business as usual","GBR","HI",0.055427,0.050853,0.060067
2016,"Business as usual","GEO","LMI",0.000235,0.000224,0.000246
2016,"Business as usual","GHA","LMI",0.012564,0.011098,0.014049
2016,"Business as usual","GIB","HI",6.5e-05,6.4e-05,6.7e-05
2016,"Business as usual","GIN","LI",0.007746,0.006564,0.008933
2016,"Business as usual","GMB","LI",0.005928,0.005709,0.006153
2016,"Business as usual","GNB","LI",0.004303,0.004021,0.004586
2016,"Business as usual","GNQ","UMI",0.00011,9.8e-05,0.000122
2016,"Business as usual","GRC","HI",0.007271,0.006897,0.007637
2016,"Business as usual","GRD","UMI",7.1e-05,7e-05,7.3e-05
2016,"Business as usual","GTM","UMI",0.040465,0.026655,0.05414
2016,"Business as usual","GUY","UMI",0.008826,0.008519,0.009136
2016,"Business as usual","HKG","HI",0.015749,0.015402,0.01609
2016,"Business as usual","HND","LMI",0.017604,0.014329,0.020532
2016,"Business as usual","HRV","HI",0.0039,0.003707,0.004101
2016,"Business as usual","HTI","LI",0.118621,0.112537,0.124653
2016,"Business as usual","IDN","LMI",1.689967,1.553517,1.825571
2016,"Business as usual","IND","LMI",2.860935,2.514122,3.211998
2016,"Business as usual","IRL","HI",0.004473,0.00417,0.004783
2016,"Business as usual","IRN","UMI",0.152332,0.111761,0.191669
2016,"Business as usual","IRQ","UMI",0.319262,0.3019,0.337345
2016,"Business as usual","ISR","HI",0.007949,0.007482,0.008419
2016,"Business as usual","ITA","HI",0.120004,0.109188,0.130764
2016,"Business as usual","JAM","UMI",0.023585,0.022644,0.024537
2016,"Business as usual","JOR","UMI",0.015775,0.005236,0.026491
2016,"Business as usual","JPN","HI",0.270792,0.255089,0.286716
2016,"Business as usual","KEN","LMI",0.177375,0.134281,0.218665
2016,"Business as usual","KGZ","LMI",0.00182,0.000385,0.003234
2016,"Business as usual","KHM","LMI",0.026085,0.022884,0.02919
2016,"Business as usual","KIR","LMI",0.002097,0.00194,0.002255
2016,"Business as usual","KNA","UMI",0.001201,0.001172,0.00123
2016,"Business as usual","KOR","HI",0.040668,0.038525,0.042747
2016,"Business as usual","KWT","HI",0.284898,0.277454,0.292269
2016,"Business as usual","LAO","LMI",0.004748,0.00437,0.005119
2016,"Business as usual","LBN","UMI",0.034824,0.033289,0.036359
2016,"Business as usual","LBR","LI",0.008226,0.007477,0.009006
2016,"Business as usual","LBY","UMI",0.044292,0.041641,0.046973
2016,"Business as usual","LCA","UMI",0.000345,0.000336,0.000352
2016,"Business as usual","LIE","HI",0.000268,0.000251,0.000285
2016,"Business as usual","LKA","LMI",0.05014,0.045636,0.054589
2016,"Business as usual","LSO","LMI",0.002479,0.002263,0.002696
2016,"Business as usual","LTU","HI",0.001023,0.000954,0.001091
2016,"Business as usual","LUX","HI",0.000146,9.9e-05,0.000195
2016,"Business as usual","LVA","HI",0.004782,0.004547,0.005021
2016,"Business as usual","MAC","HI",0.014388,0.013982,0.014795
2016,"Business as usual","MAR","LMI",0.109873,0.101633,0.117926
2016,"Business as usual","MCO","HI",3.8e-05,3.7e-05,3.8e-05
2016,"Business as usual","MDG","LI",0.027156,0.022551,0.03174
2016,"Business as usual","MDV","UMI",0.001936,0.001766,0.002097
2016,"Business as usual","MEX","UMI",0.256417,0.216274,0.297374
2016,"Business as usual","MHL","UMI",0.000235,0.000215,0.000254
2016,"Business as usual","MKD","UMI",0.004441,0.003497,0.005397
2016,"Business as usual","MLT","HI",0.000705,0.000689,0.000721
2016,"Business as usual","MMR","LMI",0.362295,0.33488,0.389703
2016,"Business as usual","MNE","UMI",0.005968,0.003753,0.008155
2016,"Business as usual","MNG","LMI",0.184162,0.174193,0.193819
2016,"Business as usual","MOZ","LI",0.026902,0.02406,0.029811
2016,"Business as usual","MRT","HI",0.019498,0.017718,0.021309
2016,"Business as usual","MUS","UMI",0.000357,0.000326,0.000388
2016,"Business as usual","MYS","UMI",0.167813,0.156433,0.1792
2016,"Business as usual","NAM","UMI",0.005139,0.003402,0.006932
2016,"Business as usual","NCL","HI",0.001014,0.000962,0.001067
2016,"Business as usual","NER","LI",0.023346,0.020871,0.025779
2016,"Business as usual","NGA","LMI",0.240051,0.196755,0.285532
2016,"Business as usual","NIC","LMI",0.032792,0.026632,0.039151
2016,"Business as usual","NLD","HI",0.008134,0.007412,0.008846
2016,"Business as usual","NOR","HI",0.000329,0.000301,0.000357
2016,"Business as usual","NZL","HI",0.002832,0.002723,0.002938
2016,"Business as usual","OMN","HI",0.173241,0.163617,0.182915
2016,"Business as usual","PAK","LMI",0.499668,0.441349,0.556842
2016,"Business as usual","PAN","HI",0.036109,0.03438,0.03776
2016,"Business as usual","PER","UMI",0.189242,0.175306,0.202378
2016,"Business as usual","PHL","LMI",0.488749,0.462071,0.51504
2016,"Business as usual","PLW","HI",0.001069,0.001043,0.001096
2016,"Business as usual","PNG","LMI",0.008938,0.007699,0.010226
2016,"Business as usual","POL","HI",0.007374,0.006574,0.008219
2016,"Business as usual","PRI","HI",0.043837,0.041906,0.045782
2016,"Business as usual","PRT","HI",0.004354,0.004101,0.004598
2016,"Business as usual","PSE","LMI",0.006127,0.003529,0.0087
2016,"Business as usual","QAT","HI",0.001689,0.001618,0.001758
2016,"Business as usual","ROU","UMI",0.048858,0.042024,0.055892
2016,"Business as usual","RUS","UMI",3.195356,2.989141,3.401767
2016,"Business as usual","RWA","LI",0.024824,0.0191,0.030418
2016,"Business as usual","SAU","HI",0.008359,0.007168,0.009531
2016,"Business as usual","SDN","LMI",0.065429,0.05962,0.071589
2016,"Business as usual","SEN","LI",0.072943,0.06712,0.078992
2016,"Business as usual","SGP","HI",0.010365,0.010126,0.010598
2016,"Business as usual","SLB","LMI",0.017919,0.016881,0.018988
2016,"Business as usual","SLE","LI",0.010033,0.00918,0.01092
2016,"Business as usual","SLV","LMI",0.007891,0.006592,0.009203
2016,"Business as usual","SOM","LI",0.010734,0.007637,0.013764
2016,"Business as usual","STP","LMI",0.001356,0.001318,0.001395
2016,"Business as usual","SUR","UMI",0.004807,0.004632,0.004993
2016,"Business as usual","SVK","HI",0.002579,0.002213,0.002945
2016,"Business as usual","SVN","HI",0.001523,0.001312,0.001729
2016,"Business as usual","SWE","HI",0.002018,0.001856,0.002176
2016,"Business as usual","SWZ","LMI",0.003494,0.002972,0.004025
2016,"Business as usual","SYC","HI",0.00028,0.000256,0.000304
2016,"Business as usual","SYR","LI",0.026488,0.015995,0.036266
2016,"Business as usual","TCD","LI",0.006529,0.002855,0.010367
2016,"Business as usual","TGO","LI",0.029169,0.025672,0.032534
2016,"Business as usual","THA","UMI",1.042903,0.962803,1.125007
2016,"Business as usual","TLS","LMI",0.00292,0.002744,0.003096
2016,"Business as usual","TTO","HI",0.062713,0.060195,0.065207
2016,"Business as usual","TUN","LMI",0.055786,0.051594,0.060243
2016,"Business as usual","TUR","UMI",0.149028,0.137324,0.160748
2016,"Business as usual","TUV","UMI",0.000184,0.000168,0.000201
2016,"Business as usual","TZA","LI",0.082842,0.070097,0.095333
2016,"Business as usual","UGA","LI",0.096715,0.074974,0.117701
2016,"Business as usual","UKR","LMI",0.139145,0.12616,0.15221
2016,"Business as usual","URY","HI",0.012924,0.012327,0.013546
2016,"Business as usual","USA","HI",0.215504,0.196139,0.235477
2016,"Business as usual","UZB","LMI",0.005709,0.001053,0.010468
2016,"Business as usual","VCT","UMI",0.00062,0.000609,0.000632
2016,"Business as usual","VEN","UMI",0.289666,0.249112,0.329106
2016,"Business as usual","VIR","HI",0.000945,0.000865,0.001026
2016,"Business as usual","VNM","LMI",0.285964,0.262235,0.310951
2016,"Business as usual","VUT","LMI",0.001581,0.001529,0.001635
2016,"Business as usual","YEM","LI",0.053177,0.039363,0.067323
2016,"Business as usual","ZAF","UMI",0.201087,0.171077,0.229631
2016,"Business as usual","ZMB","LMI",0.043043,0.034017,0.051824
2016,"Business as usual","ZWE","LI",0.052389,0.037638,0.066891
2016,"Target <8 Mt","AFG","LI",0.126619,0.098529,0.154205
2016,"Target <8 Mt","AGO","LMI",0.16846,0.151654,0.186071
2016,"Target <8 Mt","ALB","UMI",0.028016,0.024394,0.03178
2016,"Target <8 Mt","ARE","HI",0.325334,0.312372,0.337617
2016,"Target <8 Mt","ARG","HI",0.177564,0.160113,0.195931
2016,"Target <8 Mt","ATG","HI",6e-05,5.9e-05,6.2e-05
2016,"Target <8 Mt","AUS","HI",0.008898,0.008391,0.009382
2016,"Target <8 Mt","AZE","UMI",0.076428,0.069904,0.082727
2016,"Target <8 Mt","BEL","HI",0.00415,0.003686,0.004615
2016,"Target <8 Mt","BEN","LI",0.0206,0.018185,0.022893
2016,"Target <8 Mt","BGD","LMI",0.192006,0.168892,0.214119
2016,"Target <8 Mt","BGR","UMI",0.018825,0.016253,0.021356
2016,"Target <8 Mt","BHR","HI",0.000942,0.000923,0.000962
2016,"Target <8 Mt","BHS","HI",0.006054,0.005924,0.006189
2016,"Target <8 Mt","BIH","UMI",0.017514,0.014303,0.020752
2016,"Target <8 Mt","BLZ","UMI",0.004101,0.003721,0.004465
2016,"Target <8 Mt","BOL","LMI",0.015583,0.010942,0.020359
2016,"Target <8 Mt","BRA","UMI",0.670349,0.594517,0.746132
