Scenario,action,eco_status,Value,min_rate,max_rate
6-recovery-2,cu,LMI,0.5,1,1
6-recovery-2,cu,LI,0.5,1,1
6-recovery-3,wm,HI,0.9,1.1,1.35
6-recovery-3,wm,UMI,0.7,1.1,1.35
6-recovery-3,wm,LMI,0.5,1.1,1.35
6-recovery-3,wm,LI,0.3,1.1,1.35
6-recovery-3,rd,HI,0.9,1,1
6-recovery-3,rd,UMI,0.95,1,1
6-recovery-3,rd,LMI,0.95,1,1
6-recovery-3,rd,LI,1,1,1
6-recovery-3,cu,HI,0.25,1,1
6-recovery-3,cu,UMI,0.25,1,1
6-recovery-3,cu,LMI,0.25,1,1
6-recovery-3,cu,LI,0.25,1,1
6-recovery-4,wm,HI,0.9,1.1,1.35
6-recovery-4,wm,UMI,0.7,1.1,1.35
6-recovery-4,wm,LMI,0.5,1.1,1.35
6-recovery-4,wm,LI,0.3,1.1,1.35
6-recovery-4,rd,HI,0.9,1,1
6-recovery-4,rd,UMI,0.95,1,1
6-recovery-4,rd,LMI,0.95,1,1
6-recovery-4,rd,LI,1,1,1
6-recovery-4,cu,HI,0.15,1,1
6-recovery-4,cu,UMI,0.15,1,1
6-recovery-4,cu,LMI,0.15,1,1
6-recovery-4,cu,LI,0.15,1,1
trial-1,wm,HI,0.95,1.1,1.35
trial-1,wm,UMI,0.75,1.1,1.35
trial-1,wm,LMI,0.55,1.1,1.35
trial-1,wm,LI,0.35,1.1,1.35
trial-1,rd,HI,0.85,1,1
trial-1,rd,UMI,0.9,1,1
trial-1,rd,LMI,0.9,1,1
trial-1,rd,LI,0.95,1,1
trial-1,cu,HI,0.85,1,1
trial-1,cu,UMI,0.85,1,1
trial-1,cu,LMI,0.85,1,1
trial-1,cu,LI,0.85,1,1
trial-2,wm,HI,0.99,1.1,1.35
trial-2,wm,UMI,0.8,1.1,1.35
trial-2,wm,LMI,0.6,1.1,1.35
trial-2,wm,LI,0.4,1.1,1.35
trial-2,rd,HI,0.8,1,1
trial-2,rd,UMI,0.85,1,1
trial-2,rd,LMI,0.85,1,1
trial-2,rd,LI,0.9,1,1
trial-2,cu,HI,0.8,1,1
trial-2,cu,UMI,0.8,1,1
trial-2,cu,LMI,0.8,1,1
trial-2,cu,LI,0.8,1,1
trial-3,wm,HI,0.99,1.1,1.35
trial-3,wm,UMI,0.85,1.1,1.35
trial-3,wm,LMI,0.65,1.1,1.35
trial-3,wm,LI,0.45,1.1,1.35
trial-3,rd,HI,0.75,1,1
trial-3,rd,UMI,0.8,1,1
trial-3,rd,LMI,0.8,1,1
trial-3,rd,LI,0.85,1,1
trial-3,cu,HI,0.75,1,1
trial-3,cu,UMI,0.75,1,1
trial-3,cu,LMI,0.75,1,1
trial-3,cu,LI,0.75,1,1
trial-4,wm,HI,0.99,1.1,1.35
trial-4,wm,UMI,0.95,1.1,1.35
trial-4,wm,LMI,0.7,1.1,1.35
trial-4,wm,LI,0.5,1.1,1.35
trial-4,rd,HI,0.7,1,1
trial-4,rd,UMI,0.75,1,1
trial-4,rd,LMI,0.75,1,1
trial-4,rd,LI,0.85,1,1
trial-4,cu,HI,0.7,1,1
trial-4,cu,UMI,0.7,1,1
trial-4,cu,LMI,0.7,1,1
trial-4,cu,LI,0.7,1,1
trial-5,wm,HI,0.99,1.1,1.35
trial-5,wm,UMI,0.95,1.1,1.35
trial-5,wm,LMI,0.75,1.1,1.35
trial-5,wm,LI,0.55,1.1,1.35
trial-5,rd,HI,0.65,1,1
trial-5,rd,UMI,0.7,1,1
trial-5,rd,LMI,0.7,1,1
trial-5,rd,LI,0.8,1,1
trial-5,cu,HI,0.65,1,1
trial-5,cu,UMI,0.65,1,1
trial-5,cu,LMI,0.65,1,1
trial-5,cu,LI,0.65,1,1
trial-6,wm,HI,0.99,1.1,1.35
trial-6,wm,UMI,0.99,1.1,1.35
trial-6,wm,LMI,0.8,1.1,1.35
trial-6,wm,LI,0.6,1.1,1.35
trial-6,rd,HI,0.6,1,1
trial-6,rd,UMI,0.65,1,1
trial-6,rd,LMI,0.65,1,1
trial-6,rd,LI,0.75,1,1
trial-6,cu,HI,0.6,1,1
trial-6,cu,UMI,0.6,1,1
trial-6,cu,LMI,0.6,1,1
trial-6,cu,LI,0.6,1,1
trial-7,wm,HI,0.99,1.1,1.35
trial-7,wm,UMI,0.99,1.1,1.35
trial-7,wm,LMI,0.85,1.1,1.35
trial-7,wm,LI,0.65,1.1,1.35
trial-7,rd,HI,0.55,1,1
trial-7,rd,UMI,0.6,1,1
trial-7,rd,LMI,0.6,1,1
trial-7,rd,LI,0.7,1,1
trial-7,cu,HI,0.55,1,1
trial-7,cu,UMI,0.55,1,1
trial-7,cu,LMI,0.55,1,1
trial-7,cu,LI,0.55,1,1
trial-8,wm,HI,0.99,1.1,1.35
trial-8,wm,UMI,0.99,1.1,1.35
trial-8,wm,LMI,0.9,1.1,1.35
trial-8,wm,LI,0.7,1.1,1.35
trial-8,rd,HI,0.5,1,1
trial-8,rd,UMI,0.55,1,1
trial-8,rd,LMI,0.55,1,1
trial-8,rd,LI,0.65,1,1
trial-8,cu,HI,0.5,1,1
trial-8,cu,UMI,0.5,1,1
trial-8,cu,LMI,0.5,1,1
trial-8,cu,LI,0.5,1,1
trial-9,wm,HI,0.99,1.1,1.35
trial-9,wm,UMI,0.99,1.1,1.35
trial-9,wm,LMI,0.95,1.1,1.35
trial-9,wm,LI,0.75,1.1,1.35
trial-9,rd,HI,0.45,1,1
trial-9,rd,UMI,0.5,1,1
trial-9,rd,LMI,0.5,1,1
trial-9,rd,LI,0.6,1,1
trial-9,cu,HI,0.45,1,1
trial-9,cu,UMI,0.45,1,1
trial-9,cu,LMI,0.45,1,1
trial-9,cu,LI,0.45,1,1
